key_development_areas,text,business_area_id,scenario,related_skill,question_id,key_dev_areas_str
"['Construction Methods and Technology', 'Site Management and Coordination']",Rate your ability to manage and integrate multiple construction technologies seamlessly.,43Ls2FqjQE0FLcRCRyoj,The project requires the integration of several construction technologies.,construction_technology,J73BjTMsMvvoGR8B0nrT,Construction Methods and Technology Site Management and Coordination
"['Leadership and Team Management', 'Communication and Reporting']",How would you rate your ability to resolve conflicts and maintain team cohesion?,43Ls2FqjQE0FLcRCRyoj,You need to address a conflict between two team members that is affecting their work.,project_management,JFWICwBylRfOPRDw7pkl,Leadership and Team Management Communication and Reporting
"['Environmental and Sustainability Practices', 'Quality Control and Assurance']",Rate your ability to guide your project to meet the requirements for sustainability certification.,43Ls2FqjQE0FLcRCRyoj,Your project has a goal to achieve a specific sustainability certification.,sustainability,JJiWVKQvlzpqzMVgifZQ,Environmental and Sustainability Practices Quality Control and Assurance
"['Time Management', 'Problem-Solving and Decision-Making']",How would you rate your ability to prioritise tasks and ensure that critical project activities are completed on time?,43Ls2FqjQE0FLcRCRyoj,You have multiple tasks that need to be prioritized to keep the project on track.,planning_and_organising_work,OprNLHugy2zMIGKZ1tVT,Time Management Problem-Solving and Decision-Making
"['Budget and Cost Control', 'Problem-Solving and Decision-Making']",How would you rate your ability to understand financial and legal constraints and measure and record progress against the budget?,43Ls2FqjQE0FLcRCRyoj,You need to ensure that the project stays within budget constraints while maintaining quality.,monitor_costs,XPLfknqd7DZeE68K5A12,Budget and Cost Control Problem-Solving and Decision-Making
"['Leadership and Team Management', 'Project Planning and Scheduling']",Rate your ability to effectively manage and motivate your team to meet project deadlines.,43Ls2FqjQE0FLcRCRyoj,You are supervising a team to meet project milestones on time.,project_management,XV9mSzhxJmu5BpKdsZHA,Leadership and Team Management Project Planning and Scheduling
"['Environmental and Sustainability Practices', 'Communication and Reporting']",Rate your ability to assess and record the environmental impact of projects effectively.,43Ls2FqjQE0FLcRCRyoj,You are tasked with assessing the environmental impact of a new construction project.,sustainability,YAJl07c0k1mo5VxetgAz,Environmental and Sustainability Practices Communication and Reporting
"['Budget and Cost Control', 'Communication and Reporting']",How confident are you in your ability to monitor project expenses and provide accurate financial reports?,43Ls2FqjQE0FLcRCRyoj,You are required to provide regular budget updates to senior management.,monitor_costs,YSKe7x8zuBTXGM8yZlaf,Budget and Cost Control Communication and Reporting
"['Health and Safety Management', 'Communication and Reporting']",How confident are you in your ability to update your team on new regulations and ensure compliance?,43Ls2FqjQE0FLcRCRyoj,New health and safety regulations have been introduced.,health_and_safety,ZA0ObBbmBdq851lpK2vo,Health and Safety Management Communication and Reporting
"['Environmental and Sustainability Practices', 'Communication and Reporting']",How confident are you in communicating your projects sustainability efforts and achievements?,43Ls2FqjQE0FLcRCRyoj,You are presenting your projects sustainability practices to a group of stakeholders.,sustainability,ZVtjufMkz2z2wfWFhHww,Environmental and Sustainability Practices Communication and Reporting
"['Health and Safety Management', 'Leadership and Team Management']",Rate your ability to train new workers on safety protocols and ensure they adhere to them consistently.,43Ls2FqjQE0FLcRCRyoj,A new worker joins the site and is unfamiliar with the site's safety protocols.,health_and_safety,ZaH4AQXchtKaimA66krw,Health and Safety Management Leadership and Team Management
"['Construction Methods and Technology', 'Quality Control and Assurance']",Assess your competency in monitoring and evaluating the impact of new construction technologies.,43Ls2FqjQE0FLcRCRyoj,You are evaluating the effectiveness of a new technology implemented on the project.,construction_technology,aCLHQISXVLeWW8Nr4A3E,Construction Methods and Technology Quality Control and Assurance
"['Budget and Cost Control', 'Contract Management']",Rate your ability to effectively negotiate and manage subcontractor agreements to control costs.,43Ls2FqjQE0FLcRCRyoj,You need to negotiate costs with subcontractors to stay within the project budget.,monitor_costs,acPoWn8kW5X9eyJR3MWI,Budget and Cost Control Contract Management
"['Construction Methods and Technology', 'Communication and Reporting']",How would you rate your ability to facilitate training and ensure your team can use the new software effectively?,43Ls2FqjQE0FLcRCRyoj,Your team needs to be trained on using a new construction software.,construction_technology,dLDG14fQWBcvO2wpywU3,Construction Methods and Technology Communication and Reporting
"['Quality Control and Assurance', 'Technical Skills and Construction Knowledge']",Assess your competency in ensuring all quality standards are met during the commissioning process.,43Ls2FqjQE0FLcRCRyoj,You are assisting in the commissioning of a finished construction project.,monitor_quality,eGEhdDRrEkw8ZmyFJgWU,Quality Control and Assurance Technical Skills and Construction Knowledge
"['Quality Control and Assurance', 'Problem-Solving and Decision-Making']",How would you rate your ability to address and rectify quality issues promptly?,43Ls2FqjQE0FLcRCRyoj,You identify a quality issue that needs immediate attention.,monitor_quality,etdmdPZXYeytMwyD8of3,Quality Control and Assurance Problem-Solving and Decision-Making
"['Project Planning and Scheduling', 'Problem-Solving and Decision-Making']",Assess your competency in identifying the cause of the delay and developing a plan to get the project back on track.,43Ls2FqjQE0FLcRCRyoj,A key project milestone is at risk of being delayed.,project_management,h7tGIiRg4QH9Yg4oIEQf,Project Planning and Scheduling Problem-Solving and Decision-Making
"['Site Management and Coordination', 'Communication and Reporting']",Rate your ability to manage and coordinate with subcontractors to achieve project goals.,43Ls2FqjQE0FLcRCRyoj,You need to coordinate with multiple subcontractors to ensure project tasks are completed.,project_management,jmppdKrfSfHZ1Yda1V7C,Site Management and Coordination Communication and Reporting
"['Communication and Reporting', 'Leadership and Team Management']",Assess your competency in communicating the project plan and organising work among your team.,43Ls2FqjQE0FLcRCRyoj,You need to ensure that all team members are aware of their responsibilities and deadlines.,planning_and_organising_work,kkZYSkRondcjYoVEj0VE,Communication and Reporting Leadership and Team Management
"['Environmental and Sustainability Practices', 'Construction Methods and Technology']",How would you rate your ability to develop and implement sustainable waste management practices?,43Ls2FqjQE0FLcRCRyoj,You need to implement a waste reduction program on the construction site.,sustainability,mlBPUXBYn56qxR7Kks2M,Environmental and Sustainability Practices Construction Methods and Technology
"['Communication and Reporting', 'Site Management and Coordination']",Rate your ability to maintain organised and accurate project documentation.,43Ls2FqjQE0FLcRCRyoj,You are responsible for ensuring that project documentation is kept up to date and organised.,planning_and_organising_work,nRWdPmsEuwi2Du6arJzz,Communication and Reporting Site Management and Coordination
"['Health and Safety Management', 'Contract Management']",Rate your ability to enforce safety compliance among subcontractors and other external parties.,43Ls2FqjQE0FLcRCRyoj,A subcontractor is found not following the agreed safety procedures on site.,health_and_safety,r665YwWRicQu6tIwF1c6,Health and Safety Management Contract Management
"['Project Planning and Scheduling', 'Communication and Reporting']",How confident are you in your ability to monitor project progress and provide accurate and timely reports?,43Ls2FqjQE0FLcRCRyoj,You are responsible for tracking the projects progress and reporting to senior management.,project_management,tWiKRGjfhYT3KDO3i9h1,Project Planning and Scheduling Communication and Reporting
"['Health and Safety Management', 'Problem-Solving and Decision-Making']",How would you rate your ability to identify and mitigate safety hazards promptly and effectively?,43Ls2FqjQE0FLcRCRyoj,"During a routine inspection, you notice several safety hazards that need immediate attention.",health_and_safety,tsmOz25TrtbdyXXU61tc,Health and Safety Management Problem-Solving and Decision-Making
"['Environmental and Sustainability Practices', 'Technical Skills and Construction Knowledge']",Assess your competency in sourcing and using sustainable materials.,43Ls2FqjQE0FLcRCRyoj,You must ensure that the materials used on site are sourced sustainably.,sustainability,ux1amW2ntp5Zd70VaF0w,Environmental and Sustainability Practices Technical Skills and Construction Knowledge
"['Technology Skills', 'Communication Skills']","How confident are you in your ability to communicate effectively in writing, using clear language and a tone that reflects your organisation's brand and addresses the customer's needs?",5XJc8NmM7JP4byHGNGQ9,"You are responding to customer inquiries via email and social media, where you can't rely on facial expressions or tone of voice to convey your message.",communications,0qqs3JOxIiR0iZrIv9qK,Technology Skills Communication Skills
"['Customer Experience Management', 'Problem-Solving and Resolution']",How confident are you in interpreting customer feedback to make improvements that enhance customer satisfaction?,5XJc8NmM7JP4byHGNGQ9,Customer feedback indicates dissatisfaction with a particular aspect of your service.,providing_a_positive_customer_experience,3mDZwEs5G6fy9OnfusuA,Customer Experience Management Problem-Solving and Resolution
"['Problem-Solving and Resolution', 'Effective Communication']","How confident are you in acknowledging the error, showing understanding of the customer’s frustration, and offering a clear and effective solution to rectify the mistake?",5XJc8NmM7JP4byHGNGQ9,"Due to a miscommunication, a customer received the wrong product and is now challenging the error, questioning the competence of your service.",dealing_with_customer_conflict,6901T0SL23FxB8ybMLrQ,Problem-Solving and Resolution Effective Communication
"['Communication Skills', 'Product Knowledge']",How confident are you in clearly explaining options and influencing customers to make informed choices?,5XJc8NmM7JP4byHGNGQ9,A customer is unsure which service package best meets their needs.,providing_a_positive_customer_experience,6bFQ7LTvoekBNMKX8Pzq,Communication Skills Product Knowledge
"['Problem-Solving and Resolution', 'Decision-Making']","How confident are you in your ability to assess the urgency of each request and prioritise your responses accordingly, ensuring effective resolution?",5XJc8NmM7JP4byHGNGQ9,"Throughout the day, you receive several customer requests, some of which are more urgent than others. Your task is to address these requests in an order that optimises resolution times.",personal_organisation,7DsAg4E3f6SJFNhAkdiI,Problem-Solving and Resolution Decision-Making
"['Sales Techniques', 'Customer Experience Management', 'Problem-Solving and Resolution']","Rate your ability to effectively explain the benefits and limitations of each service plan, helping the customer make an informed decision that aligns with their needs and benefits your organisation.",5XJc8NmM7JP4byHGNGQ9,A customer is considering several service plans and is unsure which one best suits their needs. Your role is to guide them through the options.,influencing_skills,7qjVHul8fNc3FZBtGhMf,Sales Techniques Customer Experience Management Problem-Solving and Resolution
"['Communication Skills', 'Customer Experience Management']",How would you rate your ability to provide clear explanations and help customers navigate complex procedures?,5XJc8NmM7JP4byHGNGQ9,You need to guide a customer through a complex return process.,providing_a_positive_customer_experience,8zTFr5d0payWmnTbKxI2,Communication Skills Customer Experience Management
"['Adaptability and Flexibility', 'Empathy and Emotional Intelligence']","Assess your skill in maintaining a calm and professional tone of voice in your communications, even in high-pressure or stressful situations.",5XJc8NmM7JP4byHGNGQ9,"During a time of high customer volume, you must communicate effectively under pressure, ensuring that each customer interaction is handled with a positive and helpful tone.",communications,BxHSuB2c3ZbxttqYLJHm,Adaptability and Flexibility Empathy and Emotional Intelligence
"['Teamwork and Collaboration', 'Empathy and Emotional Intelligence']","Rate your ability to use your interpersonal skills to understand each colleague’s viewpoint, find common ground, and guide the team towards a consensus on handling such complaints.",5XJc8NmM7JP4byHGNGQ9,"During a team meeting, there’s a disagreement between colleagues about how to handle a particular type of customer complaint. You find yourself in a position to mediate.",interpersonal_skills,EMUU0CLgWLAjsBSmkrTb,Teamwork and Collaboration Empathy and Emotional Intelligence
"['Customer Relationship Management (CRM)', 'Customer Experience Management']",How would you rate your ability to consider historical interactions and challenges to determine the best next steps?,5XJc8NmM7JP4byHGNGQ9,You need to manage an escalation for a VIP client with a complex history of issues.,customer_service_performance,EzjEEEjVQtkngZhf2v2b,Customer Relationship Management (CRM) Customer Experience Management
"['Communication Skills', 'Empathy and Emotional Intelligence', 'Problem-Solving and Resolution']","How would you rate your ability to use effective questioning and listening skills to understand the customer’s needs, build rapport, and provide clear and concise information to ease their concerns?",5XJc8NmM7JP4byHGNGQ9,A customer approaches you with a complex query regarding a product that they have limited knowledge about. They seem confused and slightly anxious.,interpersonal_skills,FC12z9Qpvu6s7KO5fCSz,Communication Skills Empathy and Emotional Intelligence Problem-Solving and Resolution
"['Time Management', 'Customer Experience Management']",Assess your skill in organising your schedule to accommodate both types of clients without significant delays or service degradation.,5XJc8NmM7JP4byHGNGQ9,"In your role, you have to balance between scheduled appointments and walk-in clients, ensuring timely service to all.",personal_organisation,GUbuHjCEIT4PM5Sg6Sls,Time Management Customer Experience Management
"['Communication Skills', 'Empathy and Emotional Intelligence']",How confident are you in using advanced questioning and listening techniques to negotiate a mutually beneficial outcome?,5XJc8NmM7JP4byHGNGQ9,"A customer is dissatisfied with a product and demands a full refund, but company policy allows only exchanges.",providing_a_positive_customer_experience,GiKobnBiu6GpxDYkZrZl,Communication Skills Empathy and Emotional Intelligence
"['Customer Experience Management', 'Problem-Solving and Resolution']",How would you rate your ability to evaluate feedback critically and implement necessary changes?,5XJc8NmM7JP4byHGNGQ9,Feedback indicates a need for a significant change in service delivery.,working_with_your_customers_/_customer_insights,HwrEczHaiLmRCL7aZLgf,Customer Experience Management Problem-Solving and Resolution
"['Empathy and Emotional Intelligence', 'Customer Relationship Management (CRM)']",How confident are you in maintaining a positive relationship with customers even when their expectations cannot be met?,5XJc8NmM7JP4byHGNGQ9,A customers request cannot be fulfilled due to company policy.,customer_service_performance,JjM1WnHNu4vVMjcfaxAk,Empathy and Emotional Intelligence Customer Relationship Management (CRM)
"['Customer Experience Management', 'Adaptability and Flexibility']",How would you rate your ability to identify and address the unique needs and expectations of different customer segments?,5XJc8NmM7JP4byHGNGQ9,A new market segment requires a customised service offering.,working_with_your_customers_/_customer_insights,L8zpPXnK1QJvcVQR3vrC,Customer Experience Management Adaptability and Flexibility
"['Problem-Solving and Resolution', 'Product Knowledge', 'Customer Experience Management']","Evaluate your capability to guide the customer towards an exchange rather than a return, explaining how this option can be more beneficial for them and for your organisation.",5XJc8NmM7JP4byHGNGQ9,A customer is dissatisfied with a purchase and is considering a return. You see an opportunity to suggest an exchange that would be more suitable for their needs.,influencing_skills,LQLIVlksxormTmLxeZHf,Problem-Solving and Resolution Product Knowledge Customer Experience Management
"['Communication Skills', 'Problem-Solving and Resolution']",How would you rate your ability to use summarising and negotiation skills to find a solution that satisfies both customers?,5XJc8NmM7JP4byHGNGQ9,You need to resolve a dispute between two customers who received mixed-up orders.,providing_a_positive_customer_experience,MYC0dlMsBAOhAqqWTFrJ,Communication Skills Problem-Solving and Resolution
"['Customer Experience Management', 'Adaptability and Flexibility']",How would you rate your ability to adapt and implement best practices from other industries into your customer service strategy?,5XJc8NmM7JP4byHGNGQ9,A best practice from another industry could improve your service delivery.,service_improvement,PzQvgMjMMVHJ0TuPhza8,Customer Experience Management Adaptability and Flexibility
"['Customer Relationship Management (CRM)', 'Problem-Solving and Resolution']",How confident are you in reviewing historical interactions to manage referrals and escalations effectively?,5XJc8NmM7JP4byHGNGQ9,A customers issue has been escalated multiple times without resolution.,customer_service_performance,R2WSdU7eE7HjJJ8Q3emR,Customer Relationship Management (CRM) Problem-Solving and Resolution
"['Customer Relationship Management (CRM)', 'Empathy and Emotional Intelligence']","How would you rate your ability to quickly build rapport with the new customer, using effective questioning and active listening to identify their needs and provide suitable solutions?",5XJc8NmM7JP4byHGNGQ9,"A new customer visits your service center, feeling uncertain about what they need. It's your job to make them feel at ease and understand their requirements.",interpersonal_skills,RKvhCAmzgXxAeQ1G5MdY,Customer Relationship Management (CRM) Empathy and Emotional Intelligence
"['Empathy and Emotional Intelligence', 'Conflict Management']","Rate your ability to maintain composure, address the customer’s concerns in a manner that de-escalates the situation, and find a resolution or provide appropriate sign-posting to meet their needs.",5XJc8NmM7JP4byHGNGQ9,"A customer in your store becomes loud and angry over a product issue, drawing the attention of other customers",dealing_with_customer_conflict,SwjiKVJ9jlB8yjvaxXmH,Empathy and Emotional Intelligence Conflict Management
"['Communication Skills', 'Problem-Solving and Resolution']",How confident are you in identifying areas for improvement and making recommendations to enhance customer service delivery?,5XJc8NmM7JP4byHGNGQ9,You notice a recurring issue in customer feedback that could be improved with a minor process change.,business_focused_service_delivery,T529OwnOA3sN8cPFySe5,Communication Skills Problem-Solving and Resolution
"['Customer Relationship Management (CRM)', 'Communication Skills', 'Empathy and Emotional Intelligence']",How would you rate your ability to influence customers to participate in the survey by clearly explaining its importance and ensuring they feel their input is valuable?,5XJc8NmM7JP4byHGNGQ9,Your company is seeking more customer feedback to improve services. You are tasked with encouraging customers to complete a post-transaction survey.,influencing_skills,UeMM115jpbX5PAghrQ2l,Customer Relationship Management (CRM) Communication Skills Empathy and Emotional Intelligence
"['Policy and Procedure Adherence', 'Regulatory Compliance']",How confident are you in making and implementing recommendations to comply with new legislation and best practices?,5XJc8NmM7JP4byHGNGQ9,New industry regulations require changes to your customer service protocols.,service_improvement,VxU3iyGfcZaMFOS5XzDA,Policy and Procedure Adherence Regulatory Compliance
"['Communication Skills', 'Problem-Solving and Resolution']",How would you rate your ability to effectively communicate your findings and recommendations for service improvement?,5XJc8NmM7JP4byHGNGQ9,You need to present your improvement recommendations to senior management.,service_improvement,XYnu0l4fHSbTXkm36Wl8,Communication Skills Problem-Solving and Resolution
"['Customer Relationship Management (CRM)', 'Policy and Procedure Adherence', 'Communication Skills']","Rate your proficiency in responding to this email with an appropriate tone that reflects your organisation’s brand, acknowledges the customer's frustration, and offers a viable solution.",5XJc8NmM7JP4byHGNGQ9,You receive an email from a dissatisfied customer who had a poor experience with your service. The customer's tone is frustrated and they demand a quick resolution.,communications,YhleN2IBPLeSghGnSCHB,Customer Relationship Management (CRM) Policy and Procedure Adherence Communication Skills
"['Customer Relationship Management (CRM)', 'Communication Skills']",How confident are you in analysing customer types to anticipate and meet their needs effectively?,5XJc8NmM7JP4byHGNGQ9,You need to tailor your service approach for different customer segments.,working_with_your_customers_/_customer_insights,ZVRjvT2vRUct5jH5wAVf,Customer Relationship Management (CRM) Communication Skills
"['Problem-Solving and Resolution', 'Product Knowledge']",How confident are you in selecting and applying the most appropriate approach to resolve complex customer issues?,5XJc8NmM7JP4byHGNGQ9,A customer presents a complex problem that doesn't fit within standard procedures.,business_focused_service_delivery,aXJJFwh0JvjXQaqn798j,Problem-Solving and Resolution Product Knowledge
"['Customer Relationship Management (CRM)', 'Policy and Procedure Adherence']",How would you rate your ability to evaluate and recommend solutions that align with both customer needs and company objectives?,5XJc8NmM7JP4byHGNGQ9,A long-term customer requests an exception to a policy that could set a precedent.,business_focused_service_delivery,b433IpGoopI7tC18Xlto,Customer Relationship Management (CRM) Policy and Procedure Adherence
"['Customer Experience Management', 'Problem-Solving and Resolution']",How confident are you in managing challenging situations and recommending changes to prevent future issues?,5XJc8NmM7JP4byHGNGQ9,"A service outage has led to numerous customer complaints, and you need to manage the situation.",providing_a_positive_customer_experience,b9RvnNaAWZC9pb8YhCvv,Customer Experience Management Problem-Solving and Resolution
"['Customer Experience Management', 'Communication Skills']",How would you rate your ability to analyse and interpret customer experience data to inform service improvements?,5XJc8NmM7JP4byHGNGQ9,You need to develop a report on customer satisfaction trends for your manager.,providing_a_positive_customer_experience,bTpC4WPhuK4qPhUhqTuA,Customer Experience Management Communication Skills
"['Multitasking and Time Management', 'Adaptability and Flexibility']","How would you rate your ability to effectively prioritise and manage these tasks, ensuring that all customer interactions are handled efficiently while also completing necessary administrative work?",5XJc8NmM7JP4byHGNGQ9,"You face a day with an unusually high volume of customer interactions, both in-person and online, along with several administrative tasks that need attention.",personal_organisation,dlijZFWEanM2nzm5VLQW,Multitasking and Time Management Adaptability and Flexibility
"['Sales Techniques', 'Product Knowledge', 'Customer Experience Management']","How confident are you in your ability to influence the customer’s decision by offering clear explanations of the options, helping them make an informed choice that benefits both parties?",5XJc8NmM7JP4byHGNGQ9,"A customer is indecisive about two products. Your task is to guide them towards the best choice based on their needs and preferences, which also aligns with your organisation's interests.",influencing_skills,ea9dhyQLpZQ2G52ewsxQ,Sales Techniques Product Knowledge Customer Experience Management
"['Teamwork and Collaboration', 'Communication Skills']",How would you rate your ability to work collaboratively to analyse and improve the service experience?,5XJc8NmM7JP4byHGNGQ9,A service improvement project requires collaboration with multiple departments.,service_improvement,hkSALHd7AhIoCPxENXhG,Teamwork and Collaboration Communication Skills
"['Empathy and Emotional Intelligence', 'Conflict Resolution']","Rate your ability to deliver this unfavorable news in a way that is empathetic and constructive, using a tone of voice that is understanding yet firm in conveying the reality of the situation.",5XJc8NmM7JP4byHGNGQ9,"You need to inform a customer that a product they wanted is no longer available, which might upset them.",communications,iENN2qiTC7HBAs0sgPeF,Empathy and Emotional Intelligence Conflict Resolution
"['Empathy and Emotional Intelligence', 'Problem-Solving and Resolution', 'Policy and Procedure Adherence']","How confident are you in maintaining calmness, understanding the customer's viewpoint, and navigating to an appropriate resolution while managing their expectations?",5XJc8NmM7JP4byHGNGQ9,A customer becomes increasingly upset and confrontational over a misunderstanding regarding a service policy. The situation requires deescalation and a clear resolution.,dealing_with_customer_conflict,iEPSx2FDRORW55Vtw7Ny,Empathy and Emotional Intelligence Problem-Solving and Resolution Policy and Procedure Adherence
"['Customer Experience Management', 'Personalised Service']","Assess your skill in tailoring your interaction to meet this customer’s unique preferences, ensuring that they feel heard and valued, and their experience is positive.",5XJc8NmM7JP4byHGNGQ9,A regular customer who has specific preferences and expectations comes in for a service. You are aware of their past experiences and particular likes and dislikes.,interpersonal_skills,ix0Z4AienURQUgKY1gdZ,Customer Experience Management Personalised Service
"['Communication Skills', 'Customer Experience Management']",How would you rate your ability to communicate effectively and maintain positivity in challenging situations?,5XJc8NmM7JP4byHGNGQ9,You need to explain a policy limitation to a dissatisfied customer.,customer_service_performance,izU2vrijAt52LmKTcYKv,Communication Skills Customer Experience Management
"['Multitasking and Time Management', 'Adaptability and Flexibility', 'Teamwork and Collaboration']","Assess your ability to effectively prioritise and manage these tasks, ensuring timely and accurate responses to all customer queries.",5XJc8NmM7JP4byHGNGQ9,"During a particularly busy period, you are required to manage multiple customer queries simultaneously, both in person and over the phone, while also completing your routine tasks.",personal_organisation,lJy5tO7Bf1IjploRwmhV,Multitasking and Time Management Adaptability and Flexibility Teamwork and Collaboration
"['Customer Relationship Management (CRM)', 'Technology Skills']",How confident are you in using various methods to gather and analyse customer feedback effectively?,5XJc8NmM7JP4byHGNGQ9,You are tasked with gathering customer feedback on a new product launch.,working_with_your_customers_/_customer_insights,le3yYOvdilkNd7ZmZVXG,Customer Relationship Management (CRM) Technology Skills
"['Communication Skills', 'Customer Relationship Management (CRM)']","How would you rate your ability to break down and explain these complex details in simple, easy-to-understand terms, ensuring the customer fully understands the service plan?",5XJc8NmM7JP4byHGNGQ9,A customer is having difficulty understanding the details of a service plan. The plan has several components that are quite technical.,communications,mYz0Mqyteqs1BmsKugKB,Communication Skills Customer Relationship Management (CRM)
"['Policy and Procedure Adherence', 'Customer Relationship Management (CRM)']",How confident are you in balancing customer satisfaction with organisational policies and finding mutually beneficial solutions?,5XJc8NmM7JP4byHGNGQ9,You need to negotiate a solution that satisfies both the customers needs and the companys policies.,business_focused_service_delivery,mdUM8OQKIRpt6VYfxIBz,Policy and Procedure Adherence Customer Relationship Management (CRM)
"['Adaptability and Flexibility', 'Cultural Sensitivity']","How confident are you in your ability to adapt your approach to suit different types of customers, ensuring effective communication and a positive experience for each one?",5XJc8NmM7JP4byHGNGQ9,"Throughout your day, you interact with a diverse range of customers, each with different backgrounds, attitudes, and communication styles.",interpersonal_skills,nFKvVpJ146i5R955I9Gw,Adaptability and Flexibility Cultural Sensitivity
"[' Product Knowledge', 'Sales Techniques', 'Communication Skills']",Assess your skill in presenting the upgrade in a way that clearly articulates its advantages for the customer while also benefiting your organisation,5XJc8NmM7JP4byHGNGQ9,"During a routine interaction, you identify an opportunity to upgrade a customer to a premium service, which would better fit their usage patterns.",influencing_skills,ovpPGhbNPeDKN2Vr8ybJ, Product Knowledge Sales Techniques Communication Skills
"['Teamwork and Collaboration', 'Communication Skills']",How would you rate your ability to work collaboratively across departments to resolve complex customer problems?,5XJc8NmM7JP4byHGNGQ9,Multiple departments need to be coordinated to solve a customer's issue.,business_focused_service_delivery,oxfcpubc4TdIgdqnkf5G,Teamwork and Collaboration Communication Skills
"['Customer Experience Management', 'Problem-Solving and Resolution']",How confident are you in analysing the entire service experience and seeking input to develop solutions?,5XJc8NmM7JP4byHGNGQ9,You need to conduct an end-to-end analysis of the customer service process.,service_improvement,qs0M6XIpMCXO8kFnQzyC,Customer Experience Management Problem-Solving and Resolution
"['Communication Skills', 'Customer Experience Management']","Assess your skill in managing this challenging interaction, demonstrating understanding, and effectively communicating to manage the customer's expectations while working on a solution.",5XJc8NmM7JP4byHGNGQ9,A customer is angry due to a significant delay in service. They feel that their time has been disrespected and are vocal about their dissatisfaction.,dealing_with_customer_conflict,sbKBHkdmBX0MmF833EWG,Communication Skills Customer Experience Management
"['Project Management', 'Teamwork and Collaboration']","Rate your capability in organising and executing these tasks, ensuring everything is ready in time for the event, while maintaining regular customer service duties.",5XJc8NmM7JP4byHGNGQ9,"You are responsible for organising customer outreach and support for an upcoming promotional event, which includes several preparatory tasks that must be completed by specific deadlines.",personal_organisation,tcbdCLEBGwr1SUHvzDWq,Project Management Teamwork and Collaboration
"['Empathy and Emotional Intelligence', 'Customer Experience Management']",How would you rate your ability to handle complicated customer situations within your authority and recommend strategic changes?,5XJc8NmM7JP4byHGNGQ9,A customer has escalated a complaint about a sensitive issue that requires careful handling.,providing_a_positive_customer_experience,uWRAdXRHa4kBwvVdP4L5,Empathy and Emotional Intelligence Customer Experience Management
